bigram,attack,normal,z
sendmmsg → socket,95,37,5.796792975785319
socket → bpf,1522,0,5.799918696054843
clock_nanosleep → bind,1529,0,5.803166438978661
socket → read,59,8,5.8040757859240815
clock_nanosleep → mount,1553,0,5.814189693973393
exit_group → socket,1565,0,5.819637564712437
bind → clock_nanosleep,1573,0,5.823246307228453
socket → write,1574,0,5.823696108275756
write → setsockopt,1577,0,5.825043797812726
setpgid → connect,1587,0,5.829517641670109
bpf → bpf,1593,0,5.832188428632259
umount2 → prctl,1600,0,5.83529165469604
clone → umount2,1626,0,5.846700179261177
creat → openat,151,1,5.8467807532955
prlimit64 → unshare,1629,0,5.848004785053032
wait4 → sendto,1643,0,5.854061331616601
umount2 → setpgid,1664,0,5.863050014882193
prlimit64 → prctl,157,1,5.895217313171394
exit_group → umount2,1758,0,5.9019414911220744
write → connect,1762,0,5.903549944108449
socket → prctl,1797,0,5.917470049086884
getdents64 → clone,1798,0,5.917863768993177
getsockopt → clock_nanosleep,1798,0,5.917863768993177
mq_timedsend → mq_timedsend,114,50,5.925283218131601
write → access,162,1,5.934174435303763
prlimit64 → clone,67,14,5.943389065246096
umount2 → rmdir,1955,0,5.977108821362767
umount2 → mkdir,1958,0,5.9781939478533275
getdents64 → setpgid,1959,0,5.978555287081754
mkdir → umount2,1975,0,5.984311751956275
wait4 → pwritev,96,2,5.987521353666024
fcntl → clock_nanosleep,96,2,5.987521353666024
rmdir → newfstatat,2003,0,5.994274201389967
getdents64 → prctl,2017,0,5.999203299338716
ioctl → bind,112,47,6.0365965812150755
symlink → mkdir,177,1,6.04415211067024
unlink → clock_nanosleep,2170,0,6.050944714443113
bpf → clock_nanosleep,2176,0,6.0528986559517115
clock_nanosleep → getsockopt,2206,0,6.062588215464757
close → pivot_root,2206,0,6.062588215464757
mkdir → socket,2213,0,6.064830141916151
exit_group → getdents64,2219,0,6.06674615397016
chdir → prctl,2230,0,6.070245420374284
clone → getdents64,2239,0,6.073095636874263
rmdir → umount2,2293,0,6.0899598963003605
umount2 → chdir,2299,0,6.091809123951493
clock_nanosleep → unlink,2317,0,6.097327977293364
wait4 → getsockopt,2405,0,6.123706075573688
getdents64 → mkdir,2546,0,6.16402169353348
mkdir → getdents64,2550,0,6.165132545820695
getdents64 → rmdir,2553,0,6.165964541758821
setsockopt → exit_group,2558,0,6.167349030803576
unlink → wait4,2579,0,6.173134475434499
sendto → wait4,2697,0,6.204791555931129
getdents64 → chdir,2732,0,6.213915274663986
openat → mkdir,2744,0,6.2170165130322905
connect → exit_group,2762,0,6.221643026761757
getsockopt → socket,2804,0,6.232321990247885
getsockopt → wait4,2826,0,6.237852051967366
wait4 → setns,208,1,6.244363140265096
rmdir → openat,2857,0,6.245571758619703
rmdir → getdents64,2891,0,6.253942779974968
wait4 → recvfrom,2901,0,6.256386110927962
socket → clone,2954,0,6.269196730574999
readv → clock_nanosleep,78,4,6.274340415812361
setpgid → symlink,3020,0,6.284831939119294
sendto → sendmmsg,89,26,6.327810074746082
recvfrom → wait4,3252,0,6.337201990965325
clock_nanosleep → setsockopt,3279,0,6.343052396428623
prctl → socket,3290,0,6.345422093257389
writev → exit_group,123,2,6.390295564811874
clock_nanosleep → symlink,3688,0,6.426223444185814
clock_nanosleep → connect,3691,0,6.426798771782203
connect → clock_nanosleep,3708,0,6.43005015347654
socket → exit_group,3711,0,6.430622378791523
setsockopt → clock_nanosleep,3764,0,6.44065611633123
wait4 → bpf,3853,0,6.4571915549468955
clone → chdir,3862,0,6.458842361225412
clock_nanosleep → bpf,3908,0,6.467220179374343
chmod → openat,129,2,6.467530504961405
openat → umount2,3971,0,6.478535508778781
chdir → clock_nanosleep,4030,0,6.488970775516948
wait4 → setsockopt,4154,0,6.510413330330195
mount → newfstatat,261,1,6.525498640338922
rmdir → clock_nanosleep,4284,0,6.532216750553456
mkdir → clock_nanosleep,4319,0,6.5379738871809545
umount2 → getdents64,4345,0,6.542220494472292
bind → openat,265,1,6.54431932498621
execve → brk,2994,3034,6.564125985895265
ioctl → setpgid,4491,0,6.56560468230841
wait4 → connect,4517,0,6.569689113434499
clock_nanosleep → rmdir,4706,0,6.598691629762167
mkdir → clone,4945,0,6.633742577534365
bpf → wait4,5043,0,6.6476276200696995
rmdir → wait4,5099,0,6.6554412856808165
mkdir → wait4,5130,0,6.659729890172951
clock_nanosleep → chdir,5307,0,6.683730696711361
socket → getsockopt,5355,0,6.690101477811051
close → bpf,5401,0,6.696153453101575
clock_nanosleep → mkdir,5426,0,6.699420988629021
connect → wait4,5564,0,6.717191193050712
setsockopt → wait4,5581,0,6.7193497222299365
wait4 → rmdir,5595,0,6.721122403763666
pivot_root → close,5806,0,6.747315016239496
sendmsg → socket,5823,0,6.749383716257988
getsockopt → setsockopt,6015,0,6.772337409423235
exit_group → ioctl,6169,0,6.790224809459556
setpgid → prctl,6237,0,6.797981489772439
ioctl → prctl,6330,0,6.808454090303174
rmdir → mkdir,7071,0,6.886783421888686
clone → ioctl,7097,0,6.889380414002922
write → setpgid,7145,0,6.894149967939323
exit_group → setpgid,7280,0,6.907394535881162
close → sendmmsg,93,21,6.90792916079524
getdents64 → umount2,7885,0,6.963882536144129
mmap → ioctl,384,1,7.002701338094898
clock_nanosleep → umount2,8348,0,7.0042583512389855
recvfrom → prctl,181,2,7.015268283166793
ioctl → sendmsg,8545,0,7.020762992015571
close → sendmsg,8597,0,7.025056104981263
setpgid → socket,8729,0,7.03583848878132
umount2 → clock_nanosleep,8819,0,7.043097065065496
getdents64 → clock_nanosleep,8992,0,7.056844022723587
clock_nanosleep → getdents64,9418,0,7.089598751154643
writev → writev,136,3,7.104497282059701
wait4 → sendmsg,10086,0,7.138091161168898
fcntl → wait4,90,9,7.143844060921558
sendmsg → clock_nanosleep,10220,0,7.147431137773582
prctl → ioctl,10307,0,7.153429844870533
umount2 → wait4,10454,0,7.163451511948365
bpf → close,10499,0,7.166491224856127
getdents64 → wait4,11011,0,7.200187575630971
setpgid → clone,11208,0,7.212737230526107
wait4 → getdents64,11322,0,7.219899148260767
clone → bind,207,2,7.231662314210849
setpgid → ioctl,11634,0,7.239137665245003
exit_group → prctl,11682,0,7.242051588655851
newfstatat → mount,469,1,7.24939404007749
ioctl → clone,11885,0,7.254244165421763
rmdir → close,12068,0,7.265058425724001
mmap → unshare,477,1,7.270248737202342
close → getsockopt,12263,0,7.276402923024209
chdir → rmdir,483,1,7.285660361756253
socket → clock_nanosleep,12714,0,7.301964747164708
getsockopt → close,12817,0,7.307675406797984
socket → fcntl,112,5,7.328902813463848
openat → setpgid,13702,0,7.354933142113529
close → setpgid,13863,0,7.363201327786529
unlink → chdir,516,1,7.367128115403369
prctl → exit_group,13983,0,7.369301775706801
mount → clone,226,2,7.373048761679981
chdir → socket,525,1,7.388438690901641
clone → mount,527,1,7.393124513757119
mkdir → close,14533,0,7.396608914454628
sendmsg → wait4,15525,0,7.443347479150938
wait4 → umount2,15668,0,7.4498377281949555
setpgid → mmap,140,47,7.547724091048948
chdir → unlink,114,6,7.566992707488588
close → prctl,18931,0,7.5837637302534295
openat → prctl,20177,0,7.628894630763198
write → unshare,652,1,7.655300796724588
chdir → exit_group,659,1,7.6684487113166
symlink → write,660,1,7.670315529899816
setpgid → setpgid,21437,0,7.671785936256656
mount → write,104,14,7.698257615399421
umount2 → close,23510,0,7.737152162327493
sendmsg → close,23609,0,7.740128032096407
prctl → prctl,23689,0,7.7425236857059
getsockopt → getsockopt,25113,0,7.783865621350748
ioctl → read,109,17,7.831153996744601
write → prlimit64,160,4,7.859423986918578
exit_group → recvfrom,111,12,7.94775065555217
getpid → close,114,18,8.002132009588514
socketpair → wait4,117,21,8.017764970589129
prlimit64 → close,219,3,8.020020758462966
unshare → close,885,1,8.031278061699908
wait4 → writev,925,1,8.085642035489736
rmdir → clone,950,1,8.118434621596268
mmap → rt_sigaction,156,5,8.13831138753646
ftruncate → pwrite64,184,4,8.165482820715589
prctl → close,43518,0,8.173442749376129
socket → sendmsg,43599,0,8.174761219603841
ioctl → clock_nanosleep,44325,0,8.18647070027987
setpgid → prlimit64,242,3,8.211095490134518
setpgid → close,48195,0,8.245829711162571
clone → recvfrom,193,4,8.269888668451372
prctl → openat,51356,0,8.290888013585025
bind → connect,127,23,8.34528762777706
wait4 → prlimit64,144,37,8.35535347680928
close → prlimit64,263,3,8.370110759358472
close → memfd_create,208,4,8.43335879860336
write → dup,272,3,8.434356842477445
clock_nanosleep → sendto,1251,1,8.456733491265249
getsockname → ioctl,140,8,8.457815489602796
mkdir → chdir,1257,1,8.462612298479668
access → close,212,4,8.47492787334969
unshare → mount,126,15,8.478740795169625
ioctl → exit_group,76565,0,8.574375201288772
sendto → openat,481,2,8.583830187187298
ioctl → wait4,77665,0,8.584509651654919
clock_nanosleep → prctl,79041,0,8.596987670268428
rmdir → rmdir,1430,1,8.621019880739514
close → writev,149,36,8.624601006218517
openat → recvfrom,496,2,8.632884798629041
mount → wait4,1449,1,8.637232188375563
prctl → setpgid,87025,0,8.665378575034072
pwrite64 → openat,156,8,8.788814575519229
openat → prlimit64,207,5,8.82541619130008
newfstatat → rmdir,1764,1,8.878794922984884
writev → socket,1813,1,8.912433964027429
openat → chdir,1849,1,8.936572958081614
newfstatat → chdir,1911,1,8.97706262963203
setpgid → clock_nanosleep,137848,0,8.992824089775926
setsockopt → openat,651,2,9.066813181061411
bind → wait4,2074,1,9.077538285673988
prctl → wait4,157677,0,9.088719020444422
clone → prctl,157951,0,9.089958628968871
prlimit64 → write,146,17,9.122052016136998
chdir → openat,2316,1,9.212990191200705
openat → rmdir,2370,1,9.241275573730194
chdir → mkdir,744,2,9.2796142593771
sendmsg → sendmsg,2732,1,9.415697791599042
prctl → clock_nanosleep,250474,0,9.420016945550923
unlink → unlink,921,687,9.431028049506738
prlimit64 → openat,214,70,9.433329330480248
clock_nanosleep → setpgid,289752,0,9.524739409392515
wait4 → unshare,240,6,9.542840257730827
getdents64 → exit_group,886,2,9.557744500622162
prctl → sendto,361,4,9.631549563189237
write → unlink,167,26,9.691816326056777
unlink → getdents64,3423,1,9.692324585172189
connect → unlink,168,16,9.714510378850676
unlink → mkdir,319,5,9.86929854948362
chdir → newfstatat,594,3,9.918632094125707
setsockopt → clone,1130,2,9.944674333322673
connect → clone,1159,2,9.984956886142767
prlimit64 → setpgid,195,14,10.227679657768228
connect → openat,703,3,10.237312971227583
close → mmap,3839,3635,10.24001645102829
close → setns,276,7,10.24041750591791
bind → clone,319,6,10.290951650556282
openat → setns,200,14,10.329362139257986
write → mount,389,5,10.345706135868808
bind → socket,188,22,10.347262399477446
wait4 → mkdir,6386,1,10.457097016781102
unlink → clone,306,7,10.532389840589984
access → socket,825,3,10.539627116315158
chdir → wait4,6942,1,10.559461975296733
mount → openat,558,4,10.57159179638766
umount2 → write,1816,2,10.69822834855438
close → bind,922,3,10.74943073006823
unlink → setsockopt,303,8,10.805091161867065
writev → openat,1026,3,10.951008767158196
clock_nanosleep → sendmsg,9608,1,10.957971160506048
wait4 → chdir,9651,1,10.963446505363201
recvfrom → clone,212,29,10.977659329971576
unshare → clone,1041,3,10.978373120165962
unshare → write,681,4,11.000085032313914
mmap → socket,324,8,11.007183733010725
mmap → clock_nanosleep,264,11,11.014417399358171
symlink → close,10132,1,11.023083517439114
prctl → clone,11052,1,11.129653579044561
close → access,223,30,11.262506439782193
clone → socket,2600,2,11.267548516820241
mkdir → symlink,398,7,11.273752220439418
mkdir → unlink,359,9,11.60859706976165
unlink → rmdir,300,88,11.615224187367817
listen → socket,283,75,11.624088191297702
writev → clock_nanosleep,924,4,11.6549541283211
wait4 → dup,574,6,11.82434841397488
openat → setsockopt,1632,3,11.82504720984925
symlink → newfstatat,580,6,11.851374633059137
close → rmdir,21118,1,11.923749187668337
mount → umount2,344,11,11.949642675753307
unshare → wait4,1069,4,11.967216115059205
newfstatat → umount2,4639,2,12.18520258587488
close → umount2,29897,1,12.350270106313882
getsockopt → write,346,14,12.520273934300953
recvfrom → openat,560,9,13.019995863805159
write → mkdir,1032,6,13.343806400506976
connect → socket,653,308,13.506066510591733
getdents64 → socket,787,8,13.661759922780899
mmap → wait4,338,58,13.686083314812745
umount2 → newfstatat,12581,2,13.765258696034342
umount2 → unlink,1241,6,13.819615121541629
setns → close,511,13,13.8430997906602
rmdir → unlink,341,40,13.926019431848259
bind → bind,562,12,13.949168350417368
unlink → write,349,33,13.9734387025907
dup → wait4,890,8,14.026894192855032
openat → connect,1930,5,14.152473064840446
openat → dup,598,12,14.175378145258067
ioctl → getdents64,768,10,14.403994098567283
wait4 → mount,2213,5,14.475501352037211
clone → setpgid,21499,2,14.613812566798305
mkdir → newfstatat,1786,6,14.756871740807739
umount2 → mount,581,15,14.792818578067198
unshare → socket,451,23,14.830584651278347
sendmsg → recvfrom,8217,3,14.858848145506407
close → mount,1860,6,14.861243542638606
openat → getdents64,4645,4,15.101114861948194
umount2 → exit_group,772,12,15.10326416602102
clock_nanosleep → ioctl,29683,2,15.124828127065502
prctl → write,29701,2,15.125788714378977
umount2 → openat,10589,3,15.33418464507757
wait4 → prctl,343937,1,15.365869582306487
openat → dup2,446,34,15.52194651409057
symlink → openat,3500,5,15.556322599754663
openat → mmap,773,331,15.684848127400752
unlink → umount2,6536,4,15.827660823784859
setsockopt → socket,633,219,15.860886470005479
mount → mount,584,22,16.010201694111263
clock_nanosleep → socket,15208,3,16.01262613394367
clock_nanosleep → mmap,683,18,16.092891309361043
write → socket,4430,5,16.111220967906103
mount → mkdir,471,73,16.275153197550395
write → prctl,9126,4,16.537420982603248
openat → unlink,510,101,16.541215903870054
close → chdir,5726,5,16.71513962278019
write → getdents64,1586,10,16.795501063533123
prctl → newfstatat,527,40,16.86050932039614
rmdir → exit_group,530,41,16.939768409618928
getdents64 → write,2025,9,17.050051184137352
recvfrom → clock_nanosleep,2512,8,17.08916363303908
wait4 → bind,1529,11,17.13826817731817
unlink → newfstatat,1368,12,17.168619512031352
clock_nanosleep → newfstatat,7842,5,17.454805036134562
read → clock_nanosleep,1368,14,17.915597559773474
clone → newfstatat,1482,14,18.226057531650273
unlink → openat,836,26,18.419997550943773
socket → openat,2272,11,18.498679779298065
close → symlink,3660,9,18.889796973414853
wait4 → socket,15718,5,19.089286856972045
connect → sendto,1032,401,19.160050457933078
wait4 → mmap,712,151,19.34311606262648
write → umount2,1141,23,19.508397882969476
wait4 → symlink,3129,11,19.594782302471106
newfstatat → clock_nanosleep,8029,7,19.595988191409734
write → newfstatat,1127,449,19.755353544915714
mkdir → mkdir,1815,17,20.08511912432043
newfstatat → clone,1286,23,20.105127527379857
sendmmsg → close,1001,31,20.12465804460372
read → socket,9016,8,20.834712319591194
unlink → close,5331,11,21.414797649477073
newfstatat → exit_group,816,89,21.4929662545682
mount → close,5679,11,21.630490160185722
newfstatat → mkdir,1852,22,21.656384891968926
bind → close,1145,39,21.934450320026546
socket → connect,10240,8898,22.284855643260993
setsockopt → getsockopt,4515,14,22.52071669649434
chdir → close,12439,9,22.677674953443148
mkdir → openat,2932,19,22.86766389666306
mmap → openat,1013,70,23.121787680573018
clock_nanosleep → read,1511,36,23.31806568029583
setpgid → exit_group,16117,9,23.478484526443147
socket → wait4,23619,8,23.650518008770803
exit_group → newfstatat,1594,41,24.364706736342573
connect → sendmmsg,2252,29,24.3791542155723
mkdir → mount,1607,46,25.0441992781699
ioctl → write,4870,20,25.542000502119024
unshare → openat,1901,43,25.824750087644603
wait4 → ioctl,36909,9,26.039758774446817
wait4 → unlink,2591,33,26.056744858428388
unshare → unshare,4563,23,26.359067634518674
exit_group → clock_nanosleep,107715,7,26.731321851020013
close → mkdir,14188,14,26.905052894778834
sendmsg → exit_group,21338,12,26.95464995149041
symlink → symlink,6299,21,27.138766745474545
setpgid → write,33828,11,27.704812798202468
writev → close,1453,111,27.985803143927537
umount2 → umount2,5148,27,28.320483334274126
mmap → pread64,2994,1381,29.395141108166833
setsockopt → setsockopt,1799,96,29.745550711811777
newfstatat → wait4,8953,24,30.073105223128326
sendto → clock_nanosleep,1778,126,30.708018251898316
close → unshare,2176,86,31.082538779283304
clock_nanosleep → close,305958,8,31.172534080461123
clock_nanosleep → exit_group,80908,13,32.645193201892106
exit_group → clone,22425,19510,32.88446577007313
clock_nanosleep → recvfrom,2193,122,33.041908164150634
connect → setsockopt,2053,168,33.47835383842068
newfstatat → unlink,9220,33,33.51211322138404
setpgid → openat,321204,10,34.12217491980358
clone → openat,33521,23,36.089491841191304
close → unlink,7479,48,36.24365468573684
clock_nanosleep → wait4,916214,10,37.640820745790656
ioctl → openat,103668,18,37.932127317386026
recvfrom → close,16524,12252,40.41463346016684
openat → clone,36417,31,40.60199345526248
connect → ioctl,3044,438,41.50938641560562
write → ioctl,16311,54,43.3711491203331
exit_group → write,9206,79,43.81116442721473
close → setsockopt,3900,341,46.392604240848456
getdents64 → newfstatat,4057,299,46.57417989675452
wait4 → clock_nanosleep,964857,17,46.68653317364503
openat → clock_nanosleep,121859,30,46.841131774892574
close → connect,4153,347,47.696057680865465
connect → close,8686,4112,49.15276912793613
close → clock_nanosleep,336793,26,49.69038217317418
clone → exit_group,11043,142,53.76903586886751
exit_group → close,21328,94,54.34531948044507
openat → socket,5598,544,55.980990402843226
sendto → sendto,14212,7600,56.910295216533015
prlimit64 → prlimit64,6253,415,57.125432977728124
close → newfstatat,25801,17523,58.217981467722055
clone → clock_nanosleep,43242,82,58.49956659219441
clock_nanosleep → openat,228045,46,59.280027494441846
clone → write,19701,133,59.6244883621657
setsockopt → close,10092,255,60.921321589497026
close → recvfrom,8772,312,61.10435649915266
getdents64 → getdents64,8352,2426,61.52275361451557
ioctl → socket,10928,246,61.7125994233008
sendto → ioctl,7148,1143,63.28201197198553
ioctl → sendto,7224,1112,63.76159200271632
socket → recvfrom,8596,516,66.1060024847431
sendto → socket,8295,839,68.29355781079414
openat → wait4,174635,74,68.62738275131336
clone → clone,25333,14899,69.14877602886307
socket → sendto,9104,701,70.08403615628889
wait4 → newfstatat,9202,1667,71.04774983511325
newfstatat → getdents64,9848,635,71.43153293213621
write → clone,19896,290,74.6251286954444
recvfrom → recvfrom,13888,4760,74.64433616909788
sendto → close,10839,683,74.71759446896179
exit_group → openat,18494,403,79.6553075850289
openat → exit_group,229759,102,80.0780649456087
write → openat,44470,227,82.15065269437014
close → ioctl,28208,313,82.47052265238696
wait4 → setpgid,214066,118,83.73789801051402
socket → socket,31981,330,86.02922315127635
close → read,14331,3130,86.38776794061246
write → wait4,66273,214,86.55719858044111
wait4 → wait4,550077,105,90.12671007179155
wait4 → write,63860,261,91.73169993212382
wait4 → openat,145000,191,94.32599126483672
close → write,24412,745,98.77826075226095
socket → ioctl,67928,318,98.79984523718747
close → clone,42360,449,99.7698793734336
newfstatat → close,20394,4461,103.04472593434659
wait4 → exit_group,76059,50454,103.59972334941072
setpgid → wait4,59764,424,105.38766352768938
socket → close,33065,740,107.19811270248496
getdents64 → close,29469,9977,109.35559120756159
ioctl → close,72484,453,111.68378179831043
exit_group → exit_group,27826,1177,112.48075363047984
close → getdents64,29014,8564,114.15591515089523
write → exit_group,26313,2069,119.42994339499579
clock_nanosleep → clone,45419,861,120.67085545379624
ioctl → ioctl,164956,375,121.50727117490959
recvfrom → socket,55050,762,122.4498372090237
recvfrom → sendto,40840,1087,124.02101209303527
close → sendto,56852,947,130.6643009071804
clone → close,31416,2658,131.37909494495756
openat → ioctl,204279,468,135.6120936178171
write → clock_nanosleep,50276,1577,142.63031437326342
openat → close,97571,1461,166.55904518738055
close → socket,76166,24824,178.8087082610657
close → openat,384258,295954,184.80155672879226
close → exit_group,91795,32500,189.7203160996263
clock_nanosleep → write,72292,12585,200.26272364023185
sendto → recvfrom,88225,5542,213.38358968149763
exit_group → wait4,443917,1542,230.21505977967487
openat → openat,120630,5078,234.35968911169164
clone → wait4,324881,5247,310.99668390279487
clock_nanosleep → clock_nanosleep,443174,238228,322.07456914158996
close → wait4,379495,11104,388.11732021848127
wait4 → clone,448043,10137,398.0689953481523
wait4 → close,316487,29032,422.22217565374774
openat → write,429282,32357,484.3786776404224
write → close,443523,32905,491.6558579740547
close → close,1800497,84363,952.3228706888949
