bigram,attack,normal,z
kill → rt_sigreturn,0,5400,-6.438153860619799
mprotect → rt_sigprocmask,0,5344,-6.430778514979084
futex → rt_sigreturn,0,5231,-6.4156578531473345
mmap → rt_sigprocmask,0,4912,-6.371141107598154
lseek → newfstatat,0,4782,-6.352164338356159
recvmsg → ioctl,3,130,-6.344206577046607
munmap → futex,0,4612,-6.32655478833183
bind → listen,5,104,-6.31373056571724
rt_sigreturn → kill,0,4376,-6.289392226441092
brk → exit_group,9,96,-6.281456011392523
sendto → recvmsg,0,4124,-6.247429162281948
symlink → readlink,0,4103,-6.243817242567893
readlink → unlink,0,4095,-6.242436407876859
kill → clone,0,3797,-6.188980360710833
setsockopt → bind,18,105,-6.1836124766238
set_robust_list → pidfd_open,0,3634,-6.157936614561526
pidfd_open → rt_sigaction,0,3618,-6.154814646875843
recvmsg → close,0,3580,-6.14734428289767
ioctl → recvmsg,4,103,-6.132733680376881
accept → read,0,3475,-6.1262826700716255
rt_sigprocmask → accept,0,3421,-6.115201791257025
getpid → unlink,2,147,-6.107348746066737
rt_sigreturn → rt_sigreturn,0,3305,-6.09079476619724
brk → wait4,115,272,-6.088905674543644
socket → madvise,0,3248,-6.07848589273606
prlimit64 → access,3,112,-6.057542394138552
exit → connect,0,3137,-6.0538833120741975
madvise → setsockopt,0,3103,-6.046172938108375
setsockopt → exit,0,3087,-6.0425152401221025
mmap → set_robust_list,0,3006,-6.023702223215052
getpid → tgkill,0,2985,-6.018741986795606
ftruncate → openat,7,88,-6.010373146640347
recvfrom → poll,0,2865,-5.989710496118548
write → poll,0,2825,-5.979762381440381
mprotect → write,1,239,-5.971286054998397
rt_sigprocmask → mprotect,0,2776,-5.967382137261895
connect → rt_sigprocmask,0,2765,-5.96457286440524
mprotect → set_robust_list,0,2762,-5.963804758798373
epoll_pwait → epoll_pwait,0,2709,-5.950095530359844
set_robust_list → mmap,0,2692,-5.945641348547482
tgkill → clock_nanosleep,0,2633,-5.929961436224028
munmap → brk,0,2570,-5.912825641489323
exit_group → futex,0,2519,-5.898643187680198
readlink → openat,0,2506,-5.894982109436859
munmap → close,0,2478,-5.887031756455336
poll → write,0,2451,-5.8792797767582305
read → set_robust_list,0,2300,-5.83428658754936
read → uname,0,2280,-5.828106692283626
uname → newfstatat,0,2279,-5.827796275680036
write → mprotect,2,115,-5.710732715821838
newfstatat → pread64,0,1860,-5.6840355914994785
futex → munmap,0,1818,-5.667873100976577
munmap → munmap,0,1818,-5.667873100976577
mkdir → getpid,6,78,-5.657204837452616
mmap → madvise,0,1783,-5.654116389122879
bind → recvfrom,8,78,-5.651540701024878
getpid → clone,5,79,-5.644512159975488
openat → readlink,0,1734,-5.634396127212601
recvmsg → recvfrom,1,180,-5.6202622812433845
recvfrom → bind,18,92,-5.603452181726039
poll → sendmmsg,0,1609,-5.581448322648324
clone → chroot,0,1606,-5.58012757250154
close → execve,1,173,-5.571093160785008
close → set_robust_list,0,1583,-5.5699190482183445
getdents64 → readlinkat,0,1542,-5.551347608565254
readlinkat → getdents64,0,1542,-5.551347608565254
rt_sigprocmask → read,0,1523,-5.542573155761451
set_robust_list → kill,0,1465,-5.515094246677716
clone → rt_sigaction,0,1436,-5.500943820354376
newfstatat → poll,0,1355,-5.459851379594662
poll → newfstatat,0,1309,-5.4354061660614965
wait4 → futex,0,1248,-5.401629253415779
write → madvise,0,1238,-5.39593485854241
brk → munmap,0,1230,-5.3913461041071
getpid → futex,0,1204,-5.376223665446228
mmap → mremap,0,1184,-5.3643669604374375
futex → exit_group,0,1164,-5.352308116313985
rt_sigprocmask → epoll_wait,0,1152,-5.344972881339947
rt_sigaction → prlimit64,0,1112,-5.319957719782885
mremap → brk,0,1095,-5.309052416659815
futex → lseek,0,1078,-5.297976348580287
wait4 → rt_sigreturn,0,1064,-5.2887228280457315
rt_sigprocmask → clock_nanosleep,0,1063,-5.288057206941567
poll → ioctl,0,1043,-5.274611534389784
exit_group → brk,11,73,-5.274488353209747
sendmmsg → poll,0,1021,-5.2595199777129515
set_robust_list → mprotect,0,1011,-5.25255227357224
exit → mprotect,0,997,-5.242680723428814
readlinkat → openat,0,949,-5.207749676891311
close → readlinkat,0,948,-5.207003285190867
pwrite64 → pwrite64,1,129,-5.206818781135087
close → poll,0,941,-5.201756374201164
rt_sigaction → alarm,0,925,-5.189615244578597
tgkill → futex,0,919,-5.185008052405337
recvfrom → sendmmsg,2,83,-5.182238253734865
rt_sigaction → rt_sigprocmask,0,915,-5.181919835296495
lseek → futex,0,909,-5.177262081848742
epoll_wait → write,0,907,-5.17570265688999
pipe → clone,0,898,-5.168642386366446
connect → writev,0,889,-5.16151093616729
prlimit64 → alarm,0,885,-5.158318177387208
writev → rt_sigprocmask,0,876,-5.151081341096559
write → rt_sigprocmask,0,865,-5.142134578580644
clone → kill,0,840,-5.121370093752511
epoll_wait → clone,0,837,-5.118836893267145
chroot → newfstatat,0,833,-5.115445119112891
setpgid → rt_sigaction,0,823,-5.106893843521264
alarm → setpgid,0,822,-5.106033002836191
futex → epoll_wait,0,805,-5.091236117843396
futex → wait4,0,771,-5.060680122019892
set_robust_list → munmap,0,760,-5.050504910981345
newfstatat → access,1,111,-5.019941773156998
futex → openat,0,727,-5.01907049281544
alarm → rt_sigaction,0,716,-5.008274091515174
pipe → pipe,0,709,-5.001316858878034
exit → write,0,650,-4.9397881649069655
